kernel,n_samples,seed,criterion,time_trad,r2_trad,mae_trad,rmse_trad,n_sv_trad,time_sub,r2_sub,mae_sub,rmse_sub,n_sv_sub,speedup,r2_diff,mae_improvement,efficiency
rbf,40000,42,Spatial,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,67.13467025756836,0.8990511971967634,1.245917628690052,1.5978517619845956,4555,156.74030110871382,-0.0516236772828092,-40.578665365797534,0.0133917571017697
rbf,40000,123,Residual,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,55.27172040939331,0.9145932833726104,1.1621542312944506,1.469710891502444,3902,190.38141662797176,-0.0360815911069621,-31.12752161341395,0.0165472193844933
rbf,40000,123,Spatial,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,76.23631143569946,0.920646421183224,1.1129568156916665,1.4166715048371366,4565,138.02751251784684,-0.0300284532963487,-25.57650695110643,0.0120762193742771
rbf,40000,456,Residual,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,57.363532066345215,0.9033759020954508,1.2012109943102494,1.5632506777897193,3502,183.43899080055212,-0.0472989723841218,-35.53435196225647,0.0157482614747402
rbf,40000,456,Spatial,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,64.41584944725037,0.9025267697443112,1.2358622018948946,1.5701045744091089,4148,163.35589022422877,-0.0481481047352615,-39.44409720013724,0.0140109426094486
rbf,40000,789,Residual,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,51.302098512649536,0.9083456923755604,1.1946887893888791,1.5225176641905669,3623,205.11263157024464,-0.0423291821040122,-34.79844226648273,0.0177058194247471
rbf,40000,789,Spatial,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,85.21519827842712,0.922916431477858,1.0931297968102505,1.3962616358949385,3839,123.48393999652738,-0.0277584430017145,-23.339396095341115,0.0108304205132795
rbf,40000,1011,Residual,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,46.41242861747742,0.897985001917093,1.2556635327121144,1.6062676483252434,3958,226.72178001568676,-0.0526898725624797,-41.67830963493367,0.0193479425375068
rbf,40000,1011,Spatial,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,39.68040108680725,0.8952463611539095,1.2690544138242088,1.6276853646197758,1998,265.1865440569858,-0.0554285133256631,-43.18922187460517,0.0225614241951691
rbf,45000,42,Residual,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,58.32027244567871,0.9123787234672004,1.167112184698287,1.486467526640399,4504,279.9157091526372,-0.0382933450758613,-31.235214051831168,0.0156442808856391
rbf,45000,42,Spatial,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,95.74986338615416,0.9062169597422104,1.217557938194996,1.5378458033657871,4850,170.49382466239413,-0.0444551088008512,-36.90755587547336,0.0094644203938702
rbf,45000,123,Residual,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,49.94259142875672,0.9101397457551396,1.1766980080342804,1.505339506643169,2646,326.8705117733927,-0.040532322787922,-32.31308607977794,0.0182237188683622
rbf,45000,123,Spatial,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,100.12164664268494,0.9241323760089096,1.085152597886303,1.383180569910694,5433,163.04926024506088,-0.0265396925341521,-22.01931856218643,0.0092300956586037
rbf,45000,456,Residual,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,66.08613634109497,0.8812869808670626,1.349501827872867,1.7302139655517232,5211,247.02246679014556,-0.069385087675999,-51.74390565549294,0.013335429027329
rbf,45000,456,Spatial,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,37.92000389099121,0.8895461073751799,1.3212516250242652,1.6689416422354872,1007,430.5052411528232,-0.0611259611678817,-48.56732891638339,0.0234584919857171
rbf,45000,789,Residual,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,72.00547218322754,0.9102798601482444,1.186058990672378,1.5041654502355215,4338,226.71555264670204,-0.0403922083948172,-33.365676033299664,0.0126418150252791
rbf,45000,789,Spatial,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,102.42712926864624,0.923104761824972,1.094713686990071,1.3925165366006949,5288,159.3792634448489,-0.0275673067180897,-23.09440936455521,0.0090123072707021
rbf,45000,1011,Residual,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,55.04659152030945,0.8852741546169265,1.3371111695817437,1.7009097527446315,4598,296.5626021292188,-0.0653979139261351,-50.35064568066109,0.0160822701309363
rbf,45000,1011,Spatial,16324.760419607162,0.9506720685430616,0.8893285183634765,1.115313836345171,35719,57.545119762420654,0.9105251724801564,1.1880324528872783,1.5021077020919733,1652,283.6862706517105,-0.0401468960629051,-33.587580782124306,0.0158228043705413
rbf,50000,42,Residual,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,122.95504999160767,0.9199830375247855,1.1294446683913644,1.4206029523847519,4745,422.25138017163874,-0.028807043033058033,-24.66772356868464,0.007482271265698962
rbf,50000,42,Spatial,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,213.5503056049347,0.9240918229945586,1.0949658227717904,1.3836490944034974,5968,243.1180766094369,-0.02469825756328492,-20.861960156838634,0.004327279328291464
rbf,50000,123,Residual,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,211.0313425064087,0.9294068142668137,1.0600542283211083,1.3343294546644984,5804,246.02004110575427,-0.01938326629102982,-17.008430074202014,0.00440411743217048
rbf,50000,123,Spatial,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,200.32658886909485,0.9265345533495652,1.0781053035272803,1.3612040858822234,5943,259.16649333032575,-0.02225552720827828,-19.000901699328853,0.004625120202865419
rbf,50000,456,Residual,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,286.38202834129333,0.9269643531363838,1.0719698816129002,1.357216473697823,5830,181.2890978485438,-0.021825727421459717,-18.323675886851827,0.003236810488791154
rbf,50000,456,Spatial,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,140.8786323070526,0.9190749286877383,1.118604973760486,1.4286413886422273,5398,368.5295541830021,-0.029715151870105205,-23.47124171204264,0.006523877422976145
rbf,50000,789,Residual,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,111.83616590499878,0.9133429833053351,1.1664826868115727,1.4783713895843833,5071,464.232112554107,-0.035447097252508386,-28.755967615662946,0.008166794488298093
rbf,50000,789,Spatial,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,206.83480954170227,0.9272750285364063,1.077229826261092,1.3543267674536426,5836,251.011614887587,-0.02151505202143722,-18.904266812409354,0.00448316717379938
rbf,50000,1011,Residual,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,134.33849835395813,0.9203681908536973,1.1132694125890228,1.4171798659480415,5483,386.47104288180003,-0.028421889704146275,-22.88230426001574,0.006851112690188707
rbf,50000,1011,Spatial,51917.939558029175,0.9487900805578435,0.9059639785345934,1.1364719698894667,35808,172.94384360313416,0.9256094246361597,1.0805345980657826,1.3697478935160596,6016,300.2011431940229,-0.023180655921683835,-19.269046415461133,0.0053520807988991954
